"jobStartTimeStamp", "arn", "traceCloseTimeStamp", "currentTimeStamp", "elapsedTimeFromClosingTraceToNow"
1595255512307, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595255514559, 1595255517329, 2770

1595255693655, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595255695914, 1595255698241, 2327
1595255703072, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595255705255, 1595255707508, 2253

1595264178991, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595264181199, 1595264184298, 3099
1595268026600, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595268029913, 1595268033615, 3702
1595277514296, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595277519291, 1595277524420, 5129
1595277907084, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595277911189, 1595277914258, 3069
1595278373386, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595278376483, 1595278381799, 5316
1595278598714, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595278601669, 1595278605310, 3641
1595279041626, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595279044588, 1595279048408, 3820
1595280624883, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595280627794, 1595280634478, 6684
1595320727281, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595320730422, 1595320736408, 5986
1595322991674, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595322994674, 1595323000165, 5491
1595326722067, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595326725044, 1595326729737, 4693
1595326976029, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595326978932, 1595326983462, 4530
1595327302429, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595327305259, 1595327309361, 4102
1595327569678, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595327572520, 1595327578284, 5764
1595329519698, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595329522804, 1595329526591, 3787
1595333003326, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595333006330, 1595333012309, 5979
1595336540026, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595336543019, 1595336548533, 5514
1595412436022, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595412439055, 1595412443461, 4406
1595417709501, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595417712483, 1595417717332, 4849
1595420678253, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1595420681322, 1595420686318, 4996
1596196296779, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596196299992, 1596196304379, 4387
1596199239897, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596199242901, 1596199249371, 6470
1596199919319, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596199922402, 1596199927483, 5081
1596200242801, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596200245062, 1596200248377, 3315
1596200536390, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596200538560, 1596200542459, 3899
1596200833064, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596200835967, 1596200840406, 4439
1596200985674, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596200988649, 1596200993265, 4616

1596201271820, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596201274729, 1596201278433, 3704
1596201426694, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596201429589, 1596201433196, 3607
1596201689807, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596201692665, 1596201697284, 4619
1596204677366, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596204680372, 1596204685509, 5137
1596208853703, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596208856772, 1596208860377, 3605
1596212528115, arn:aws:lambda:eu-central-1:646012695651:function:lambda-gsd-index-calculator-dev-start-job, 1596212531203, 1596212535195, 3992
